iter	RMSE
0	12.58338988
1	11.97758439
2	11.38243535
3	10.87245856
4	10.43852468
5	10.04786001
6	9.636074087
7	9.323960458
8	9.008497724
9	8.703993627
10	8.488035292
11	8.225497917
12	8.003800164
13	7.822451683
14	7.64070053
15	7.519473409
16	7.33716914
17	7.217538209
18	7.074123748
19	6.945004786
20	6.834876098
21	6.754458641
22	6.671240925
23	6.549751641
24	6.456131671
25	6.357303489
26	6.264193684
27	6.20783864
28	6.088061707
29	5.978223489
30	5.920598215
31	5.860381218
32	5.812982562
33	5.732369118
34	5.690087276
35	5.646387179
36	5.591436232
37	5.548680771
38	5.46754403
39	5.43567091
40	5.363440174
41	5.304726808
42	5.255324054
43	5.204309596
44	5.169043323
45	5.121908139
46	5.070715146
47	5.027895635
48	4.986268462
49	4.934515215
50	4.900487419
51	4.866677591
52	4.820811058
53	4.804414857
54	4.754921184
55	4.716496309
56	4.679520298
57	4.619164023
58	4.576643557
59	4.539072246
60	4.498780553
61	4.447185697
62	4.391382392
63	4.358341231
64	4.328431822
65	4.299918265
66	4.264860357
67	4.237760326
68	4.203848628
69	4.180681047
70	4.129720596
71	4.098553293
72	4.06892105
73	4.036908599
74	3.975471472
75	3.943005506
76	3.921141613
77	3.8753379
78	3.82068861
79	3.785011095
80	3.750183542
81	3.726031537
82	3.703103379
83	3.679837573
84	3.664860685
85	3.612772926
86	3.562577595
87	3.525502458
88	3.490670819
89	3.471697269
90	3.438140508
91	3.425495874
92	3.408552883
93	3.366294258
94	3.316868519
95	3.286724078
96	3.269677253
97	3.244489179
98	3.233707527
99	3.207691455
100	3.194283904
101	3.172383936
102	3.151364482
103	3.130891605
104	3.089211645
105	3.058036714
106	3.037944707
107	3.014816804
108	2.989322565
109	2.972874382
110	2.951458327
111	2.928589177
112	2.901663693
113	2.887064128
114	2.871067398
115	2.849494099
116	2.828402212
117	2.80299188
118	2.78227102
119	2.763004301
120	2.745905814
121	2.719334045
122	2.704313696
123	2.688319126
124	2.670533112
125	2.651684345
126	2.603970258
127	2.587743048
128	2.553861904
129	2.542060795
130	2.527523264
131	2.494915547
132	2.484160644
133	2.463506144
134	2.443913466
135	2.427341442
136	2.412069037
137	2.396359462
138	2.382624617
139	2.36805039
140	2.344249616
141	2.335624434
142	2.323667805
143	2.31335794
144	2.292907263
145	2.288612966
146	2.279343302
147	2.262148462
148	2.240579525
149	2.229056454
150	2.219515482
151	2.200870739
152	2.188060526
153	2.167860899
154	2.150941309
155	2.135208782
156	2.118497843
157	2.111948053
158	2.104317625
159	2.087884927
160	2.08326058
161	2.073132029
162	2.056153164
163	2.04601301
164	2.038679115
165	2.0290379
166	2.018826098
167	2.004517116
168	2.00219267
169	1.991496475
170	1.982974345
171	1.973759868
172	1.960693305
173	1.948777576
174	1.934190955
175	1.926364302
176	1.920445969
177	1.91352964
178	1.896393778
179	1.887241702
180	1.880916053
181	1.872632209
182	1.863004774
183	1.857079005
184	1.850113091
185	1.838764361
186	1.828220673
187	1.820173659
188	1.810735099
189	1.807442085
190	1.802600693
191	1.793285592
192	1.785757977
193	1.777323674
194	1.77012919
195	1.753238892
196	1.744617181
197	1.73777015
198	1.730607308
199	1.724089377
200	1.710985791
201	1.708194964
202	1.698388789
203	1.691239122
204	1.682766728
205	1.67877967
206	1.673380005
207	1.662479552
208	1.656738529
209	1.655169444
210	1.649444405
211	1.64538733
212	1.639143742
213	1.633960514
214	1.629164607
215	1.62496473
216	1.61158273
217	1.610254144
218	1.609248703
219	1.597175219
220	1.589032135
221	1.579894416
222	1.572016008
223	1.564831228
224	1.561835984
225	1.555368364
226	1.549936276
227	1.543361238
228	1.540222777
229	1.53250709
230	1.524867759
231	1.51606446
232	1.510582804
233	1.502903423
234	1.4923084
235	1.484349247
236	1.477742749
237	1.473692774
238	1.471243917
239	1.470407608
240	1.462368779
241	1.456345301
242	1.452897039
243	1.444268978
244	1.440954993
245	1.433414906
246	1.429472689
247	1.422618283
248	1.417603566
249	1.413157873
250	1.404079699
251	1.399520374
252	1.396816752
253	1.39251234
254	1.389354349
255	1.382202361
256	1.377600147
257	1.371712324
258	1.36931818
259	1.361680055
260	1.358267127
261	1.353950939
262	1.351466519
263	1.347932662
264	1.342827667
265	1.336365161
266	1.332643769
267	1.328069574
268	1.323791335
269	1.317170547
270	1.312187058
271	1.311095284
272	1.306257795
273	1.298975258
274	1.296973521
275	1.293984802
276	1.289486595
277	1.285583269
278	1.2844786
279	1.280552749
280	1.275665894
281	1.272898382
282	1.269872339
283	1.266599642
284	1.263298657
285	1.258685605
286	1.254084004
287	1.252941903
288	1.249339087
289	1.244598776
290	1.238604191
291	1.23505958
292	1.227159423
293	1.225540831
294	1.224991874
295	1.223222169
296	1.216736685
297	1.215730997
298	1.209010697
299	1.202767385
