iter	Passed	Remaining
0	146	43848
1	162	24165
2	166	16456
3	169	12539
4	173	10228
5	179	8786
6	183	7681
7	187	6855
8	193	6266
9	198	5756
10	202	5330
11	207	4988
12	211	4670
13	215	4400
14	219	4168
15	226	4018
16	230	3837
17	234	3676
18	240	3555
19	245	3437
20	254	3380
21	260	3295
22	264	3185
23	274	3156
24	279	3071
25	285	3004
26	290	2939
27	293	2855
28	299	2797
29	304	2736
30	307	2666
31	310	2602
32	318	2579
33	322	2525
34	326	2468
35	331	2427
36	337	2400
37	343	2367
38	364	2436
39	373	2427
40	384	2426
41	387	2381
42	390	2334
43	396	2309
44	399	2264
45	402	2221
46	407	2192
47	412	2165
48	415	2129
49	427	2135
50	431	2107
51	440	2102
52	445	2074
53	449	2046
54	456	2034
55	461	2008
56	469	2001
57	475	1981
58	478	1953
59	483	1934
60	490	1921
61	494	1896
62	502	1891
63	506	1866
64	509	1840
65	516	1829
66	519	1806
67	523	1784
68	526	1761
69	530	1742
70	534	1724
71	537	1702
72	541	1682
73	545	1666
74	549	1648
75	555	1637
76	559	1620
77	563	1603
78	570	1596
79	577	1586
80	580	1569
81	583	1552
82	589	1540
83	593	1526
84	597	1512
85	601	1496
86	606	1485
87	610	1469
88	613	1454
89	616	1439
90	623	1430
91	626	1417
92	630	1404
93	636	1395
94	640	1382
95	643	1367
96	646	1353
97	651	1341
98	653	1327
99	657	1314
100	659	1300
101	664	1290
102	668	1277
103	672	1267
104	692	1286
105	710	1300
106	747	1349
107	755	1342
108	765	1342
109	772	1334
110	800	1363
111	804	1350
112	814	1348
113	830	1355
114	844	1358
115	848	1346
116	852	1334
117	864	1333
118	898	1366
119	914	1372
120	920	1361
121	926	1351
122	929	1337
123	933	1325
124	939	1314
125	942	1301
126	945	1287
127	950	1277
128	954	1264
129	958	1253
130	964	1244
131	972	1237
132	976	1225
133	983	1218
134	990	1211
135	1000	1207
136	1008	1199
137	1017	1194
138	1020	1182
139	1030	1177
140	1036	1169
141	1045	1163
142	1049	1152
143	1052	1140
144	1057	1130
145	1062	1120
146	1065	1108
147	1068	1096
148	1071	1085
149	1076	1076
150	1078	1064
151	1081	1053
152	1085	1042
153	1091	1034
154	1094	1023
155	1098	1013
156	1102	1004
157	1107	994
158	1109	984
159	1113	973
160	1116	963
161	1120	954
162	1123	944
163	1126	934
164	1135	928
165	1139	919
166	1142	910
167	1159	910
168	1165	903
169	1175	898
170	1184	893
171	1190	885
172	1196	878
173	1203	871
174	1213	866
175	1222	860
176	1232	856
177	1236	847
178	1243	840
179	1247	831
180	1250	822
181	1258	815
182	1261	806
183	1264	797
184	1283	798
185	1289	790
186	1292	781
187	1295	771
188	1298	762
189	1303	754
190	1307	746
191	1313	738
192	1318	731
193	1323	723
194	1326	714
195	1330	705
196	1336	698
197	1341	690
198	1344	682
199	1349	674
200	1353	666
201	1356	658
202	1359	649
203	1367	643
204	1373	636
205	1377	628
206	1385	622
207	1390	614
208	1397	608
209	1405	602
210	1410	594
211	1415	587
212	1425	582
213	1433	576
214	1458	576
215	1462	568
216	1474	564
217	1482	557
218	1489	551
219	1493	543
220	1499	536
221	1505	529
222	1515	523
223	1519	515
224	1523	507
225	1529	500
226	1532	492
227	1536	485
228	1540	477
229	1546	470
230	1550	463
231	1568	459
232	1578	453
233	1584	446
234	1587	439
235	1591	431
236	1594	423
237	1604	418
238	1608	410
239	1611	402
240	1614	395
241	1623	389
242	1627	381
243	1632	374
244	1639	368
245	1643	360
246	1647	353
247	1653	346
248	1657	339
249	1661	332
250	1665	325
251	1670	318
252	1674	311
253	1678	303
254	1684	297
255	1687	290
256	1692	283
257	1816	295
258	1821	288
259	1824	280
260	1838	274
261	1844	267
262	1848	259
263	1852	252
264	1856	245
265	1862	238
266	1865	230
267	1868	223
268	1871	215
269	1880	208
270	1886	201
271	1914	197
272	1917	189
273	1925	182
274	1928	175
275	1932	168
276	1935	160
277	1940	153
278	1944	146
279	1948	139
280	1951	131
281	1957	124
282	1960	117
283	1964	110
284	1967	103
285	1972	96
286	1976	89
287	1979	82
288	1982	75
289	1988	68
290	1991	61
291	1994	54
292	1997	47
293	2002	40
294	2005	33
295	2009	27
296	2013	20
297	2022	13
298	2026	6
299	2032	0
