"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
"Aruba","314","Export Diversification Index","total_theil","Value","4.4732718","4.4769788","4.6630306","4.846118","4.8229055","4.8955331","4.8547192","4.7144823","4.500556","3.8450823","3.7666872","3.6080146","3.5649409","3.7889075","3.0116086","3.3193507","3.2190428","3.3304279","3.410553","2.7505927","3.508707","3.7743652","4.1411972","4.7092333",
"Afghanistan, Islamic Republic of","512","Export Diversification Index","total_theil","Value","3.8586609","3.717257","3.3458197","4.296752","3.3563507","3.0677667","2.7101743","2.9359014","3.0851958","3.3158891","2.8091793","2.8081315","3.0167868","3.0035975","2.9127665","3.0734708","2.864501","2.6944036","2.1959968","2.7662075","2.9362681","3.1442778","3.1732664","3.2871161",
"Angola","614","Export Diversification Index","total_theil","Value","6.1762652","6.0457344","6.0831833","6.0387096","6.0023694","6.0487604","5.9911456","5.8821516","5.903543","6.0963874","6.0692272","6.1136775","6.2437768","6.3306208","6.2455153","6.2953358","6.2119465","6.315526","6.2780771","6.2558527","6.2549701","6.1062145","6.1268072","6.2127671",
"Anguilla","312","Export Diversification Index","total_theil","Value","2.9554892","3.9657967","4.360878","3.2480013","3.7424304","3.2950194","2.7255371","3.1477318","3.5677853","3.1409092","2.9458156","3.0545239","3.5124221","3.2379467","3.7931964","4.12363","3.5781138","3.892729","3.1105838","3.4340537","3.6114905","3.5096822","3.6389139","4.0476198",
"Albania","914","Export Diversification Index","total_theil","Value","2.8866651","2.668124","2.8779776","3.0470052","3.055258","3.1133671","3.1347067","3.3739176","3.4376421","3.1895165","3.3105695","3.2541816","3.0183487","3.1628406","2.966985","2.9304581","2.8343005","1.9813621","1.9800624","2.9244497","2.9428811","2.9762449","3.0717702","2.9446635",
"Andorra","171","Export Diversification Index","total_theil","Value","2.8964329","2.742527","3.0523734","2.8490262","3.1188769","2.9519463","2.6988173","2.4973748","2.4380934","2.2468119","2.149226","2.4067299","2.5122559","2.44396","2.8208432","2.7536426","2.4817438","2.1877813","2.0110826","2.012666","2.7168295","2.3996823","2.9716558","2.9015028",
"Netherlands Antilles","353","Export Diversification Index","total_theil","Value","4.2840438","4.2836146","4.0082059","4.0130806","3.7592649","3.8927238","3.68572","3.4738522","3.6683691","3.321239","3.6696362","3.4053073","3.0066016","3.1297958","3.3407307","2.9360816","2.6979074","2.7979548","4.0656471","2.8629503","0","0","0","0",
"Vietnam","582","Export Diversification Index","total_theil","Value","3.3211513","3.3476412","3.2666719","3.182456","3.1447542","3.0600979","3.0410647","3.0256248","3.06656","3.1374857","3.0530851","2.9799531","3.0044546","2.9597542","2.9669538","2.8303866","2.7096896","2.661447","2.5503156","2.4414215","2.4290113","2.6099918","2.7515202","2.6412842",
"Vanuatu","846","Export Diversification Index","total_theil","Value","4.1658316","3.9276071","4.0663342","3.5151553","3.57584","3.5319266","4.4442244","4.5851493","4.0638247","4.0691071","4.2673264","3.6124139","3.9303944","4.2918296","4.4743023","4.7413983","4.8265448","4.7989507","4.8325667","4.8218818","4.5227485","4.6267371","4.3262968","4.4118686",
"Samoa","862","Export Diversification Index","total_theil","Value","3.5346262","4.9783635","5.2827654","5.5430446","5.2722497","4.5907311","4.5116286","4.5073442","4.6880755","4.7707982","4.8789763","4.2302723","3.3472643","3.0071893","3.5097518","4.4160538","4.7266889","4.344172","3.2467577","3.3475842","3.4490507","3.1445098","3.1766195","2.797497",
"Yemen, Republic of","474","Export Diversification Index","total_theil","Value","5.4337101","5.1217752","4.7270498","5.6531353","5.5210052","5.5167694","5.6495557","5.3386903","5.7060018","5.8309388","5.6450434","5.688261","5.6299601","5.7427869","5.8057127","5.8579965","5.8148084","5.9010038","5.5376306","5.12321","5.0539532","5.0537887","5.0212226","5.1391091",
"South Africa","199","Export Diversification Index","total_theil","Value","2.2209799","2.0112076","1.9026785","1.8302956","1.8226148","1.7842814","1.8111116","1.7984768","1.7972692","1.8778107","1.9386035","1.8107303","1.8343351","1.9029166","1.993754","2.0834522","2.1513023","2.2670596","2.1276183","2.3011973","2.4969337","2.7220888","2.6437626","2.5942292",
"Guyana","336","Export Diversification Index","total_theil","Value","4.3575668","4.4299827","4.3143296","3.9963789","4.0411997","4.1328664","3.9174216","3.9373093","3.9351299","3.8229611","3.8384812","3.6114674","3.7665067","3.843714","3.724175","3.7138817","3.8446043","3.9213815","3.8391428","3.8224907","3.9032049","3.8139153","3.7618947","3.9228971",
"Cabo Verde","624","Export Diversification Index","total_theil","Value","4.3414698","3.9730756","4.1617613","3.4373162","4.1899695","4.3323011","3.1606956","3.4184961","3.9190922","3.2752535","3.5675881","3.9708054","3.6475976","3.6583683","4.1461134","3.7742827","3.6270216","4.2700348","4.0255342","4.1904216","4.4960337","4.4373112","4.4171181","4.4810691",
"Rwanda","714","Export Diversification Index","total_theil","Value","5.1342783","4.6552849","4.7808223","4.9197869","4.8924923","5.2073402","4.4541683","4.7391329","4.6896763","4.4905415","4.6166339","3.9762411","4.6739836","5.2997155","4.1791072","4.384182","4.0390329","4.1701398","3.932301","4.2161398","4.1166782","3.7141092","3.75734","3.7658594",
"Kyrgyz Republic","917","Export Diversification Index","total_theil","Value","0","3.3992887","3.133801","3.0442975","2.4342697","2.4224639","2.4723682","2.6476126","3.0364192","3.0626516","2.9202485","2.726871","2.5836792","2.6565592","2.59622","2.4672897","2.4768441","2.8038528","2.9164622","3.5435357","2.6808372","2.6413157","2.6554704","2.9110422",
"Cambodia","522","Export Diversification Index","total_theil","Value","4.3660278","4.7307649","4.480855","4.562479","4.3424482","3.7739828","4.0838447","4.5226059","4.7406425","4.6772122","4.7329693","4.7798548","4.8323293","4.7708054","4.7989826","4.8542881","4.8506804","4.8389206","4.6907434","4.6115174","4.6271529","4.430954","4.3600378","4.3575821",
"Kiribati","826","Export Diversification Index","total_theil","Value","5.0308909","3.4983227","4.9419088","5.2026129","4.9685516","4.4173083","6.0787139","5.5917025","4.0864401","5.3812289","5.6529913","5.6248417","5.5880723","4.5626945","4.23839","4.4846683","4.2518711","5.1447659","5.2428751","5.0647855","5.5154343","5.6182623","6.0274363","6.0372868",
"Turkey","186","Export Diversification Index","total_theil","Value","2.0939312","2.1679068","2.1589127","2.071785","2.0600426","2.0215974","2.0000465","2.0513895","2.0371094","2.0747347","2.0305004","2.0849981","2.0690398","2.0381906","1.9875175","1.9494823","1.8995982","1.8609407","1.7687877","1.8542536","1.8054969","1.7915237","1.7589029","1.8115044",
"Tanzania","738","Export Diversification Index","total_theil","Value","3.0173819","3.3531249","3.1829302","3.1663861","3.3115246","3.2855237","3.2397766","3.1479962","3.0921965","3.1368632","3.0889537","2.9851818","2.753124","2.6428452","2.669719","2.6078463","2.5434144","2.3399963","2.54966","2.662092","2.5840061","2.4361875","2.6489761","2.5984907",
"Uganda","746","Export Diversification Index","total_theil","Value","5.2713785","4.7961798","4.3991585","5.2423272","5.0980721","4.8171263","4.8332052","4.6607528","4.736062","3.944129","3.5211892","3.4417615","3.1656964","3.0588059","3.1025393","3.0082707","2.5183709","2.7323289","2.6409137","2.7899141","2.8204374","2.6217604","2.5478079","2.5593486",
"Ukraine","926","Export Diversification Index","total_theil","Value","0","2.5364747","2.5159531","2.4065149","2.3009622","1.5997839","1.7051203","1.7557073","1.8220336","1.8685913","1.7995807","1.8625106","1.7982746","1.9194983","1.8941443","1.914801","1.8489845","2.0103354","1.8834453","1.986325","2.0458703","2.0351582","2.0246134","2.0609472",
"Uruguay","298","Export Diversification Index","total_theil","Value","2.3579483","2.1772873","2.2089384","2.2624762","2.0612414","2.1831164","2.2084074","2.1454144","2.1734574","2.3045077","2.2408342","2.3640873","2.4185331","2.3796804","2.2341695","2.4377899","2.2559969","2.4146264","2.4812155","2.712291","2.6604424","2.7810652","2.8718288","2.8936486",
"Ghana","652","Export Diversification Index","total_theil","Value","4.1516719","4.071136","4.0525703","3.9557822","3.8839588","3.920331","3.8615451","3.7818303","3.6828837","3.6546772","3.638092","3.7087111","3.7960448","3.912828","3.778754","3.7435384","3.8937192","4.0310683","4.0844803","4.2867322","4.0510907","4.0996599","4.0439219","4.1828656",
"Germany","134","Export Diversification Index","total_theil","Value","1.3857431","1.4437833","1.4210731","1.4190452","1.4341896","1.4793488","1.4911363","1.5461304","1.5967028","1.616564","1.6401323","1.6734575","1.6863261","1.6786172","1.6690236","1.6573217","1.6625469","1.6224655","1.6064748","1.6992611","1.7016743","1.7149619","1.7147706","1.7395089",
